fecha,cambio_pct,comentario
2021-04-01,7.7,▲ 7.7% (63d) — Rally post-vacunas COVID
2021-06-28,7.4,▲ 7.4% (63d) — Inicio alza Banxico (4.25%→5.50%)
2021-09-27,7.0,▲ 7.0% (63d) — Alza notable
2021-12-28,6.8,▲ 6.8% (63d) — Alza notable
2022-03-30,6.7,▲ 6.7% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-07-27,6.6,▲ 6.6% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-10-26,6.7,▲ 6.7% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-12-28,6.7,▲ 6.7% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2023-03-29,6.7,▲ 6.7% (63d) — Tasas en máximos históricos MX
2023-06-28,6.5,▲ 6.5% (63d) — Tasas en máximos históricos MX
