,cetes_mxn,e_E11_mxn,ml_LogisticRegression_mxn,ga_mxn
2021-01-01,450073.47,,450000.00,450000.00
2021-01-04,450146.96,460000.00,450000.00,450000.00
2021-01-05,450220.46,460000.00,452328.65,450000.00
2021-01-06,450293.97,460000.00,453096.86,450000.00
2021-01-07,450367.49,460000.00,458508.25,450000.00
2021-01-08,450441.02,460000.00,456997.23,450000.00
2021-01-11,450514.57,460000.00,457445.90,450000.00
2021-01-12,450588.13,460000.00,464166.94,450000.00
2021-01-13,450661.70,460000.00,465455.47,450000.00
2021-01-14,450735.28,460000.00,469507.51,450000.00
2021-01-15,450808.87,460000.00,475297.49,450000.00
2021-01-18,450882.48,460000.00,482406.82,450000.00
2021-01-19,450956.10,460000.00,480230.39,450000.00
2021-01-20,451029.72,460000.00,470693.08,450000.00
2021-01-21,451103.37,460000.00,461589.41,450000.00
2021-01-22,451177.02,460000.00,467280.29,450000.00
2021-01-25,451250.69,460000.00,467401.37,450000.00
2021-01-26,451324.36,460000.00,463115.67,450000.00
2021-01-27,451398.05,460000.00,462386.31,450000.00
2021-01-28,451471.76,460000.00,460407.30,450000.00
2021-01-29,451545.47,460000.00,460261.67,450000.00
2021-02-01,461619.77,,470261.67,460000.00
2021-02-02,461694.09,470000.00,472530.12,460000.00
2021-02-03,461768.42,470000.00,471873.50,460000.00
2021-02-04,461842.76,470000.00,470927.34,460000.00
2021-02-05,461917.11,470000.00,476060.20,460000.00
2021-02-08,461991.47,470000.00,478729.84,460000.00
2021-02-09,462065.85,470000.00,474750.21,460000.00
2021-02-10,462140.24,470000.00,473612.93,460000.00
2021-02-11,462214.64,470000.00,470599.32,460000.00
2021-02-12,462289.05,470000.00,471056.37,460000.00
2021-02-15,462363.47,470000.00,470465.16,460000.00
2021-02-16,462437.91,470000.00,475089.46,460000.00
2021-02-17,462512.35,470000.00,471417.72,460000.00
2021-02-18,462586.81,470000.00,471701.20,460000.00
2021-02-19,462661.28,470000.00,471787.05,460000.00
2021-02-22,462735.77,470000.00,475703.97,460000.00
2021-02-23,462810.26,470000.00,475622.84,460000.00
2021-02-24,462884.77,470000.00,472822.08,460000.00
2021-02-25,462959.29,470000.00,471947.69,460000.00
2021-02-26,463033.82,470000.00,481661.99,460000.00
2021-03-01,473108.35,480000.00,490096.68,470000.00
2021-03-02,473182.89,480000.00,488749.60,470000.00
2021-03-03,473257.45,480000.00,486481.71,470000.00
2021-03-04,473332.01,480000.00,487103.01,470000.00
2021-03-05,473406.59,480000.00,492113.29,470000.00
2021-03-08,473481.18,480000.00,495937.96,470000.00
2021-03-09,473555.78,480000.00,495985.90,470000.00
2021-03-10,473630.39,480000.00,497465.55,470000.00
2021-03-11,473705.01,480000.00,495555.02,470000.00
2021-03-12,473779.65,480000.00,499907.46,470000.00
2021-03-15,473854.30,,499907.46,470000.00
2021-03-16,473928.96,480000.00,497952.87,470000.00
2021-03-17,474003.63,480000.00,498404.45,470000.00
2021-03-18,474078.31,480000.00,497884.78,470000.00
2021-03-19,474153.00,480000.00,495389.80,470000.00
2021-03-22,474227.71,480000.00,497042.59,470000.00
2021-03-23,474302.43,480000.00,498380.17,470000.00
2021-03-24,474377.16,480000.00,498218.26,470000.00
2021-03-25,474451.90,480000.00,503377.62,470000.00
2021-03-26,474526.65,480000.00,501056.96,470000.00
2021-03-29,474601.42,480000.00,501712.27,470000.00
2021-03-30,474676.20,480000.00,509204.97,470000.00
2021-03-31,474750.99,480000.00,515217.30,470000.00
2021-04-01,484827.73,,525217.30,480000.00
2021-04-02,484904.49,,525217.30,480000.00
2021-04-05,484981.26,487601.40,525704.56,479954.78
2021-04-06,485058.04,488655.17,522087.29,479909.56
2021-04-07,485134.84,488814.23,522858.76,479864.35
2021-04-08,485211.64,491086.91,524093.31,479819.14
2021-04-09,485288.46,484750.70,522520.61,479773.93
2021-04-12,485365.29,482750.48,520932.40,479728.73
2021-04-13,485442.14,485097.86,519413.11,479683.54
2021-04-14,485518.99,483754.38,521312.55,479638.35
2021-04-15,485595.86,487869.97,521645.49,479593.16
2021-04-16,485672.74,487024.14,520422.99,479547.98
2021-04-19,485749.63,483157.97,516810.01,479502.80
2021-04-20,485826.53,483446.21,517901.23,479457.62
2021-04-21,485903.45,485382.85,518662.92,479412.45
2021-04-22,485980.38,484653.79,519403.15,479367.29
2021-04-23,486057.32,480706.17,517008.24,479322.12
2021-04-26,486134.27,474417.09,514365.56,479276.97
2021-04-27,486211.24,468566.44,510607.69,479231.81
2021-04-28,486288.21,469010.26,513333.75,479186.66
2021-04-29,486365.20,469922.61,511813.39,479141.52
2021-04-30,486442.21,468234.09,509294.55,479096.38
2021-05-03,496523.26,488199.96,529396.82,489050.30
2021-05-04,496604.33,484238.88,529393.32,489004.23
2021-05-05,496685.42,480906.26,528454.43,488958.16
2021-05-06,496766.51,484685.46,528000.04,488912.09
2021-05-07,496847.62,485321.04,519709.59,488866.03
2021-05-10,496928.74,488073.21,523762.69,488819.97
2021-05-11,497009.88,485736.61,528858.45,488773.92
2021-05-12,497091.03,481477.97,522897.29,488727.87
2021-05-13,497172.19,479714.13,521411.69,488681.83
2021-05-14,497253.37,482477.11,520463.92,488635.79
2021-05-17,497334.56,483559.44,523540.25,488589.75
2021-05-18,497415.76,486386.59,533239.76,488543.72
2021-05-19,497496.97,474865.87,520704.67,488497.70
2021-05-20,497578.20,480685.13,522750.28,488451.67
2021-05-21,497659.45,477422.95,520771.69,488405.66
2021-05-24,497740.70,477428.25,523308.07,488359.64
2021-05-25,497821.97,477497.34,526013.69,488313.63
2021-05-26,497903.25,476590.51,523604.28,488267.63
2021-05-27,497984.55,480327.49,520219.84,488221.63
2021-05-28,498065.85,484053.38,522432.63,488175.63
2021-05-31,498147.18,486998.79,531042.25,488129.64
2021-06-01,508231.11,495086.40,539819.13,498082.71
2021-06-02,508315.06,498641.32,541893.81,498035.78
2021-06-03,508399.02,497517.83,538093.60,497988.86
2021-06-04,508483.00,494793.12,537465.95,497941.95
2021-06-07,508566.99,498747.09,545106.96,497895.04
2021-06-08,508651.00,497824.84,545296.69,497848.13
2021-06-09,508735.01,497216.19,543342.67,497801.23
2021-06-10,508819.05,499085.92,545214.34,497754.33
2021-06-11,508903.09,499310.77,544348.97,497707.43
2021-06-14,508987.15,497555.24,545883.95,497660.54
2021-06-15,509071.23,498363.28,545707.37,497613.66
2021-06-16,509155.32,497989.36,547550.89,497566.78
2021-06-17,509239.42,500447.67,550412.01,497519.90
2021-06-18,509323.53,491100.60,553047.46,497473.03
2021-06-21,509407.66,492861.23,552800.62,497426.16
2021-06-22,509491.81,496357.77,551303.86,497379.30
2021-06-23,509575.96,493904.85,550278.76,497332.44
2021-06-24,509660.13,491020.04,550616.75,497285.58
2021-06-25,509744.32,490023.24,549319.45,497238.73
2021-06-28,509828.52,486104.04,546148.98,497191.89
2021-06-29,509912.73,486595.08,550477.09,497145.05
2021-06-30,509996.96,484205.80,547009.09,497098.21
2021-07-01,520085.23,489099.05,552198.91,507050.43
2021-07-02,520173.51,489068.92,551578.44,507002.66
2021-07-05,520261.80,489776.60,554077.54,506954.90
2021-07-06,520350.12,489481.28,550590.27,506907.14
2021-07-07,520438.44,489202.11,549853.98,506859.38
2021-07-08,520526.78,491115.04,549785.66,506811.63
2021-07-09,520615.14,492110.94,551253.68,506763.88
2021-07-12,520703.51,494378.93,553329.14,506716.14
2021-07-13,520791.90,493242.44,552752.30,506668.40
2021-07-14,520880.30,497123.00,560214.12,506620.67
2021-07-15,520968.72,499901.44,559191.21,506572.94
2021-07-16,521057.15,503153.54,561948.67,506525.21
2021-07-19,521145.60,491867.64,550269.01,506477.49
2021-07-20,521234.06,494706.25,556399.02,506429.78
2021-07-21,521322.54,497835.73,559028.18,506382.06
2021-07-22,521411.03,499525.50,560594.46,506334.36
2021-07-23,521499.53,499459.56,560291.82,506286.65
2021-07-26,521588.06,508328.58,562517.35,506238.96
2021-07-27,521676.59,506785.84,561429.74,506191.26
2021-07-28,521765.14,502788.61,558012.81,506143.57
2021-07-29,521853.71,507660.13,561592.88,506095.89
2021-07-30,521942.29,499997.41,551953.52,506048.21
2021-08-02,532034.21,510103.38,561669.34,515999.59
2021-08-03,532126.13,511838.87,569831.43,515950.98
2021-08-04,532218.08,511338.09,568458.95,515902.37
2021-08-05,532310.04,514885.75,563972.71,515853.77
2021-08-06,532402.01,517354.56,568481.49,515805.17
2021-08-09,532494.01,515439.50,569691.97,515756.57
2021-08-10,532586.01,523996.44,573165.16,515707.98
2021-08-11,532678.04,524520.75,576385.75,515659.40
2021-08-12,532770.08,521773.01,575013.26,515610.81
2021-08-13,532862.13,521571.44,574745.69,515562.24
2021-08-16,532954.20,524192.51,575811.61,515513.67
2021-08-17,533046.29,524853.68,577545.63,515465.10
2021-08-18,533138.39,527455.07,590582.64,515416.54
2021-08-19,533230.51,522641.49,575187.12,515367.98
2021-08-20,533322.65,521245.14,575716.00,515319.42
2021-08-23,533414.80,521407.95,576193.61,515270.87
2021-08-24,533506.96,516573.51,574075.06,515222.33
2021-08-25,533599.14,519901.89,575508.81,515173.79
2021-08-26,533691.34,518293.75,571956.94,515125.26
2021-08-27,533783.56,520787.00,573469.49,515076.72
2021-08-30,533875.79,526783.61,578464.83,515028.20
2021-08-31,533968.03,533635.21,583299.90,514979.68
2021-09-01,544066.98,535315.61,588509.13,524930.22
2021-09-02,544165.94,538879.81,591268.38,524880.76
2021-09-03,544264.92,537409.40,589642.76,524831.31
2021-09-06,544363.92,537686.87,588067.83,524781.87
2021-09-07,544462.94,537839.83,587958.34,524732.43
2021-09-08,544561.98,535641.85,585292.83,524682.99
2021-09-09,544661.03,536853.74,592428.13,524633.56
2021-09-10,544760.10,536943.07,589374.64,524584.13
2021-09-13,544859.19,539278.85,590556.19,524534.71
2021-09-14,544958.30,543818.49,591264.76,524485.29
2021-09-15,545057.42,545229.27,592048.57,524435.88
2021-09-16,545156.56,,592048.57,524386.47
2021-09-17,545255.73,550512.51,592781.30,524337.07
2021-09-20,545354.91,547420.09,588019.03,524287.67
2021-09-21,545454.10,554226.40,592872.68,524238.28
2021-09-22,545553.32,553653.51,592128.19,524188.89
2021-09-23,545652.55,557269.80,591755.73,524139.50
2021-09-24,545751.80,550211.52,590061.55,524090.12
2021-09-27,545851.07,549093.00,588269.68,524040.75
