fecha,cambio_pct,comentario
2021-04-21,6.7,▲ 6.7% (63d) — Rally post-vacunas COVID
2021-06-24,6.4,▲ 6.4% (63d) — Inicio alza Banxico (4.25%→5.50%)
2021-08-26,6.1,▲ 6.1% (63d) — Inicio alza Banxico (4.25%→5.50%)
2021-11-15,5.8,▲ 5.8% (63d) — Alza notable
2022-01-26,5.6,▲ 5.6% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-03-30,5.4,▲ 5.4% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-06-21,5.1,▲ 5.1% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-08-26,4.9,▲ 4.9% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-11-23,4.7,▲ 4.7% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2023-01-25,4.5,▲ 4.5% (63d) — Tasas en máximos históricos MX
