fecha,cambio_pct,comentario
2021-10-01,14.6,▲ 14.6% (63d) — Alza notable
2022-02-22,31.4,▲ 31.4% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-04-29,25.9,▲ 25.9% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2022-08-09,17.5,▲ 17.5% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2023-01-16,32.5,▲ 32.5% (63d) — Tasas en máximos históricos MX
2023-03-29,22.5,▲ 22.5% (63d) — Tasas en máximos históricos MX
2023-12-18,38.5,▲ 38.5% (63d) — Tasas estables en techo; FIBRAs presionadas
2024-03-04,26.5,▲ 26.5% (63d) — Inicio recortes Banxico; peso fuerte
2025-03-21,16.9,▲ 16.9% (63d) — Ciclo bajista continúa; presión aranceles EUA
2026-05-06,17.3,▲ 17.3% (63d) — Recuperación gradual; tasas reales aún altas
