fecha,cambio_pct,comentario
2021-04-01,6.7,▲ 6.7% (63d) — Rally post-vacunas COVID
2021-06-03,6.0,▲ 6.0% (63d) — Inicio alza Banxico (4.25%→5.50%)
2021-08-18,5.5,▲ 5.5% (63d) — Inicio alza Banxico (4.25%→5.50%)
2021-10-27,5.3,▲ 5.3% (63d) — Alza notable
2022-12-28,10.5,▲ 10.5% (63d) — Ciclo agresivo alzas Banxico (→11.25%)
2023-03-01,8.3,▲ 8.3% (63d) — Tasas en máximos históricos MX
2023-05-03,6.5,▲ 6.5% (63d) — Tasas en máximos históricos MX
2025-09-25,5.3,▲ 5.3% (63d) — Recuperación gradual; tasas reales aún altas
2026-01-26,6.8,▲ 6.8% (63d) — Recuperación gradual; tasas reales aún altas
2026-03-30,11.2,▲ 11.2% (63d) — Recuperación gradual; tasas reales aún altas
