fecha,portafolio_total_mxn
2021-01-01,450073.47
2021-01-04,450146.96
2021-01-05,450220.46
2021-01-06,450293.97
2021-01-07,450367.49
2021-01-08,450441.02
2021-01-11,450514.57
2021-01-12,450588.13
2021-01-13,450661.70
2021-01-14,450735.28
2021-01-15,450808.87
2021-01-18,450882.48
2021-01-19,450956.10
2021-01-20,451029.72
2021-01-21,451103.37
2021-01-22,451177.02
2021-01-25,451250.69
2021-01-26,451324.36
2021-01-27,451398.05
2021-01-28,451471.76
2021-01-29,451545.47
2021-02-01,461619.77
2021-02-02,461694.09
2021-02-03,461768.42
2021-02-04,461842.76
2021-02-05,461917.11
2021-02-08,461991.47
2021-02-09,462065.85
2021-02-10,462140.24
2021-02-11,462214.64
2021-02-12,462289.05
2021-02-15,462363.47
2021-02-16,462437.91
2021-02-17,462512.35
2021-02-18,462586.81
2021-02-19,462661.28
2021-02-22,462735.77
2021-02-23,462810.26
2021-02-24,462884.77
2021-02-25,462959.29
2021-02-26,463033.82
2021-03-01,473108.35
2021-03-02,473182.89
2021-03-03,473257.45
2021-03-04,473332.01
2021-03-05,473406.59
2021-03-08,473481.18
2021-03-09,473555.78
2021-03-10,473630.39
2021-03-11,473705.01
2021-03-12,473779.65
2021-03-15,473854.30
2021-03-16,473928.96
2021-03-17,474003.63
2021-03-18,474078.31
2021-03-19,474153.00
2021-03-22,474227.71
2021-03-23,474302.43
2021-03-24,474377.16
2021-03-25,474451.90
2021-03-26,474526.65
2021-03-29,474601.42
2021-03-30,474676.20
2021-03-31,474750.99
2021-04-01,484827.73
2021-04-02,484904.49
2021-04-05,484981.26
2021-04-06,485058.04
2021-04-07,485134.84
2021-04-08,485211.64
2021-04-09,485288.46
2021-04-12,485365.29
2021-04-13,485442.14
2021-04-14,485518.99
2021-04-15,485595.86
2021-04-16,485672.74
2021-04-19,485749.63
2021-04-20,485826.53
2021-04-21,485903.45
2021-04-22,485980.38
2021-04-23,486057.32
2021-04-26,486134.27
2021-04-27,486211.24
2021-04-28,486288.21
2021-04-29,486365.20
2021-04-30,486442.21
2021-05-03,496523.26
2021-05-04,496604.33
2021-05-05,496685.42
2021-05-06,496766.51
2021-05-07,496847.62
2021-05-10,496928.74
2021-05-11,497009.88
2021-05-12,497091.03
2021-05-13,497172.19
2021-05-14,497253.37
2021-05-17,497334.56
2021-05-18,497415.76
2021-05-19,497496.97
2021-05-20,497578.20
2021-05-21,497659.45
2021-05-24,497740.70
2021-05-25,497821.97
2021-05-26,497903.25
2021-05-27,497984.55
2021-05-28,498065.85
2021-05-31,498147.18
2021-06-01,508231.11
2021-06-02,508315.06
2021-06-03,508399.02
2021-06-04,508483.00
2021-06-07,508566.99
2021-06-08,508651.00
2021-06-09,508735.01
2021-06-10,508819.05
2021-06-11,508903.09
2021-06-14,508987.15
2021-06-15,509071.23
2021-06-16,509155.32
2021-06-17,509239.42
2021-06-18,509323.53
2021-06-21,509407.66
2021-06-22,509491.81
2021-06-23,509575.96
2021-06-24,509660.13
2021-06-25,509744.32
2021-06-28,509828.52
2021-06-29,509912.73
2021-06-30,509996.96
2021-07-01,520085.23
2021-07-02,520173.51
2021-07-05,520261.80
2021-07-06,520350.12
2021-07-07,520438.44
2021-07-08,520526.78
2021-07-09,520615.14
2021-07-12,520703.51
2021-07-13,520791.90
2021-07-14,520880.30
2021-07-15,520968.72
2021-07-16,521057.15
2021-07-19,521145.60
2021-07-20,521234.06
2021-07-21,521322.54
2021-07-22,521411.03
2021-07-23,521499.53
2021-07-26,521588.06
2021-07-27,521676.59
2021-07-28,521765.14
2021-07-29,521853.71
2021-07-30,521942.29
2021-08-02,532034.21
2021-08-03,532126.13
2021-08-04,532218.08
2021-08-05,532310.04
2021-08-06,532402.01
2021-08-09,532494.01
2021-08-10,532586.01
2021-08-11,532678.04
2021-08-12,532770.08
2021-08-13,532862.13
2021-08-16,532954.20
2021-08-17,533046.29
2021-08-18,533138.39
2021-08-19,533230.51
2021-08-20,533322.65
2021-08-23,533414.80
2021-08-24,533506.96
2021-08-25,533599.14
2021-08-26,533691.34
2021-08-27,533783.56
2021-08-30,533875.79
2021-08-31,533968.03
2021-09-01,544066.98
2021-09-02,544165.94
2021-09-03,544264.92
2021-09-06,544363.92
2021-09-07,544462.94
2021-09-08,544561.98
2021-09-09,544661.03
2021-09-10,544760.10
2021-09-13,544859.19
2021-09-14,544958.30
2021-09-15,545057.42
2021-09-16,545156.56
2021-09-17,545255.73
2021-09-20,545354.91
2021-09-21,545454.10
2021-09-22,545553.32
2021-09-23,545652.55
2021-09-24,545751.80
2021-09-27,545851.07
2021-09-28,545950.36
2021-09-29,546049.67
2021-09-30,546148.99
2021-10-01,556257.73
2021-10-04,556366.49
2021-10-05,556475.27
2021-10-06,556584.07
2021-10-07,556692.89
2021-10-08,556801.74
2021-10-11,556910.60
2021-10-12,557019.49
2021-10-13,557128.40
2021-10-14,557237.33
2021-10-15,557346.28
2021-10-18,557455.25
2021-10-19,557564.25
2021-10-20,557673.26
2021-10-21,557782.30
2021-10-22,557891.36
2021-10-25,558000.44
2021-10-26,558109.54
2021-10-27,558218.66
2021-10-28,558327.80
2021-10-29,558436.96
2021-11-01,568554.11
2021-11-02,568671.28
2021-11-03,568788.48
2021-11-04,568905.70
