fecha,portafolio_total_mxn
2021-01-01,450000.00
2021-01-04,450000.00
2021-01-05,450000.00
2021-01-06,450000.00
2021-01-07,450000.00
2021-01-08,450000.00
2021-01-11,450000.00
2021-01-12,450000.00
2021-01-13,450000.00
2021-01-14,450000.00
2021-01-15,450000.00
2021-01-18,450000.00
2021-01-19,450000.00
2021-01-20,450000.00
2021-01-21,450000.00
2021-01-22,450000.00
2021-01-25,450000.00
2021-01-26,450000.00
2021-01-27,450000.00
2021-01-28,450000.00
2021-01-29,450000.00
2021-02-01,460000.00
2021-02-02,460000.00
2021-02-03,460000.00
2021-02-04,460000.00
2021-02-05,460000.00
2021-02-08,460000.00
2021-02-09,460000.00
2021-02-10,460000.00
2021-02-11,460000.00
2021-02-12,460000.00
2021-02-15,460000.00
2021-02-16,460000.00
2021-02-17,460000.00
2021-02-18,460000.00
2021-02-19,460000.00
2021-02-22,460000.00
2021-02-23,460000.00
2021-02-24,460000.00
2021-02-25,460000.00
2021-02-26,460000.00
2021-03-01,470000.00
2021-03-02,470000.00
2021-03-03,470000.00
2021-03-04,470000.00
2021-03-05,470000.00
2021-03-08,470000.00
2021-03-09,470000.00
2021-03-10,470000.00
2021-03-11,470000.00
2021-03-12,470000.00
2021-03-15,470000.00
2021-03-16,470000.00
2021-03-17,470000.00
2021-03-18,470000.00
2021-03-19,470000.00
2021-03-22,470000.00
2021-03-23,470000.00
2021-03-24,470000.00
2021-03-25,470000.00
2021-03-26,470000.00
2021-03-29,470000.00
2021-03-30,470000.00
2021-03-31,470000.00
2021-04-01,480000.00
2021-04-02,480000.00
2021-04-05,480000.00
2021-04-06,480000.00
2021-04-07,480000.00
2021-04-08,480000.00
2021-04-09,480000.00
2021-04-12,480000.00
2021-04-13,480000.00
2021-04-14,480000.00
2021-04-15,480000.00
2021-04-16,480000.00
2021-04-19,480000.00
2021-04-20,480000.00
2021-04-21,480000.00
2021-04-22,480000.00
2021-04-23,480000.00
2021-04-26,480000.00
2021-04-27,480000.00
2021-04-28,480000.00
2021-04-29,480000.00
2021-04-30,480000.00
2021-05-03,490000.00
2021-05-04,490000.00
2021-05-05,490000.00
2021-05-06,490000.00
2021-05-07,490000.00
2021-05-10,490000.00
2021-05-11,490000.00
2021-05-12,490000.00
2021-05-13,490000.00
2021-05-14,490000.00
2021-05-17,490000.00
2021-05-18,490000.00
2021-05-19,490000.00
2021-05-20,490000.00
2021-05-21,490000.00
2021-05-24,490000.00
2021-05-25,490000.00
2021-05-26,490000.00
2021-05-27,490000.00
2021-05-28,490000.00
2021-05-31,490000.00
2021-06-01,500000.00
2021-06-02,500000.00
2021-06-03,500000.00
2021-06-04,500000.00
2021-06-07,500000.00
2021-06-08,500000.00
2021-06-09,500000.00
2021-06-10,500000.00
2021-06-11,500000.00
2021-06-14,500000.00
2021-06-15,500000.00
2021-06-16,500000.00
2021-06-17,500000.00
2021-06-18,500000.00
2021-06-21,500000.00
2021-06-22,500000.00
2021-06-23,500000.00
2021-06-24,500000.00
2021-06-25,500000.00
2021-06-28,500000.00
2021-06-29,500000.00
2021-06-30,500000.00
2021-07-01,510000.00
2021-07-02,510000.00
2021-07-05,510000.00
2021-07-06,510000.00
2021-07-07,510000.00
2021-07-08,510000.00
2021-07-09,510000.00
2021-07-12,510000.00
2021-07-13,510000.00
2021-07-14,510000.00
2021-07-15,510000.00
2021-07-16,510000.00
2021-07-19,510000.00
2021-07-20,510000.00
2021-07-21,510000.00
2021-07-22,510000.00
2021-07-23,510000.00
2021-07-26,510000.00
2021-07-27,510000.00
2021-07-28,510000.00
2021-07-29,510000.00
2021-07-30,510000.00
2021-08-02,520000.00
2021-08-03,520000.00
2021-08-04,520000.00
2021-08-05,520000.00
2021-08-06,520000.00
2021-08-09,520000.00
2021-08-10,520000.00
2021-08-11,520000.00
2021-08-12,520000.00
2021-08-13,520000.00
2021-08-16,520000.00
2021-08-17,520000.00
2021-08-18,520000.00
2021-08-19,520000.00
2021-08-20,520000.00
2021-08-23,520000.00
2021-08-24,520000.00
2021-08-25,520000.00
2021-08-26,520000.00
2021-08-27,520000.00
2021-08-30,520000.00
2021-08-31,520000.00
2021-09-01,530000.00
2021-09-02,530000.00
2021-09-03,530000.00
2021-09-06,530000.00
2021-09-07,530000.00
2021-09-08,530000.00
2021-09-09,530000.00
2021-09-10,530000.00
2021-09-13,530000.00
2021-09-14,530000.00
2021-09-15,530000.00
2021-09-16,530000.00
2021-09-17,530000.00
2021-09-20,530000.00
2021-09-21,530000.00
2021-09-22,530000.00
2021-09-23,530000.00
2021-09-24,530000.00
2021-09-27,530000.00
2021-09-28,530000.00
2021-09-29,530000.00
2021-09-30,530000.00
2021-10-01,540000.00
2021-10-04,540000.00
2021-10-05,540000.00
2021-10-06,540000.00
2021-10-07,540000.00
2021-10-08,540000.00
2021-10-11,540000.00
2021-10-12,540000.00
2021-10-13,540000.00
2021-10-14,540000.00
2021-10-15,540000.00
2021-10-18,540000.00
2021-10-19,540000.00
2021-10-20,540000.00
2021-10-21,540000.00
2021-10-22,540000.00
2021-10-25,540000.00
2021-10-26,540000.00
2021-10-27,540000.00
2021-10-28,540000.00
2021-10-29,540000.00
2021-11-01,550000.00
2021-11-02,550000.00
2021-11-03,550000.00
2021-11-04,550000.00
2021-11-05,550000.00
2021-11-08,550000.00
2021-11-09,550000.00
2021-11-10,550000.00
