fecha,portafolio_total_mxn
2021-01-01,450000.00
2021-01-04,450000.00
2021-01-05,450000.00
2021-01-06,450000.00
2021-01-07,450000.00
2021-01-08,450000.00
2021-01-11,450000.00
2021-01-12,450000.00
2021-01-13,450000.00
2021-01-14,450000.00
2021-01-15,450000.00
2021-01-18,450000.00
2021-01-19,450000.00
2021-01-20,450000.00
2021-01-21,450000.00
2021-01-22,450000.00
2021-01-25,450000.00
2021-01-26,450000.00
2021-01-27,450000.00
2021-01-28,450000.00
2021-01-29,450000.00
2021-02-01,460000.00
2021-02-02,460000.00
2021-02-03,460000.00
2021-02-04,460000.00
2021-02-05,460000.00
2021-02-08,460000.00
2021-02-09,460000.00
2021-02-10,460000.00
2021-02-11,460000.00
2021-02-12,460000.00
2021-02-15,460000.00
2021-02-16,460000.00
2021-02-17,460000.00
2021-02-18,460000.00
2021-02-19,460000.00
2021-02-22,460000.00
2021-02-23,460000.00
2021-02-24,460000.00
2021-02-25,460000.00
2021-02-26,460000.00
2021-03-01,470000.00
2021-03-02,470000.00
2021-03-03,470000.00
2021-03-04,470000.00
2021-03-05,470000.00
2021-03-08,470000.00
2021-03-09,470000.00
2021-03-10,470000.00
2021-03-11,470000.00
2021-03-12,470000.00
2021-03-15,470000.00
2021-03-16,470000.00
2021-03-17,470000.00
2021-03-18,470000.00
2021-03-19,470000.00
2021-03-22,470000.00
2021-03-23,470000.00
2021-03-24,470000.00
2021-03-25,470000.00
2021-03-26,470000.00
2021-03-29,470000.00
2021-03-30,470000.00
2021-03-31,470000.00
2021-04-01,480000.00
2021-04-02,480000.00
2021-04-05,479954.78
2021-04-06,479909.56
2021-04-07,479864.35
2021-04-08,479819.14
2021-04-09,479773.93
2021-04-12,479728.73
2021-04-13,479683.54
2021-04-14,479638.35
2021-04-15,479593.16
2021-04-16,479547.98
2021-04-19,479502.80
2021-04-20,479457.62
2021-04-21,479412.45
2021-04-22,479367.29
2021-04-23,479322.12
2021-04-26,479276.97
2021-04-27,479231.81
2021-04-28,479186.66
2021-04-29,479141.52
2021-04-30,479096.38
2021-05-03,489050.30
2021-05-04,489004.23
2021-05-05,488958.16
2021-05-06,488912.09
2021-05-07,488866.03
2021-05-10,488819.97
2021-05-11,488773.92
2021-05-12,488727.87
2021-05-13,488681.83
2021-05-14,488635.79
2021-05-17,488589.75
2021-05-18,488543.72
2021-05-19,488497.70
2021-05-20,488451.67
2021-05-21,488405.66
2021-05-24,488359.64
2021-05-25,488313.63
2021-05-26,488267.63
2021-05-27,488221.63
2021-05-28,488175.63
2021-05-31,488129.64
2021-06-01,498082.71
2021-06-02,498035.78
2021-06-03,497988.86
2021-06-04,497941.95
2021-06-07,497895.04
2021-06-08,497848.13
2021-06-09,497801.23
2021-06-10,497754.33
2021-06-11,497707.43
2021-06-14,497660.54
2021-06-15,497613.66
2021-06-16,497566.78
2021-06-17,497519.90
2021-06-18,497473.03
2021-06-21,497426.16
2021-06-22,497379.30
2021-06-23,497332.44
2021-06-24,497285.58
2021-06-25,497238.73
2021-06-28,497191.89
2021-06-29,497145.05
2021-06-30,497098.21
2021-07-01,507050.43
2021-07-02,507002.66
2021-07-05,506954.90
2021-07-06,506907.14
2021-07-07,506859.38
2021-07-08,506811.63
2021-07-09,506763.88
2021-07-12,506716.14
2021-07-13,506668.40
2021-07-14,506620.67
2021-07-15,506572.94
2021-07-16,506525.21
2021-07-19,506477.49
2021-07-20,506429.78
2021-07-21,506382.06
2021-07-22,506334.36
2021-07-23,506286.65
2021-07-26,506238.96
2021-07-27,506191.26
2021-07-28,506143.57
2021-07-29,506095.89
2021-07-30,506048.21
2021-08-02,515999.59
2021-08-03,515950.98
2021-08-04,515902.37
2021-08-05,515853.77
2021-08-06,515805.17
2021-08-09,515756.57
2021-08-10,515707.98
2021-08-11,515659.40
2021-08-12,515610.81
2021-08-13,515562.24
2021-08-16,515513.67
2021-08-17,515465.10
2021-08-18,515416.54
2021-08-19,515367.98
2021-08-20,515319.42
2021-08-23,515270.87
2021-08-24,515222.33
2021-08-25,515173.79
2021-08-26,515125.26
2021-08-27,515076.72
2021-08-30,515028.20
2021-08-31,514979.68
2021-09-01,524930.22
2021-09-02,524880.76
2021-09-03,524831.31
2021-09-06,524781.87
2021-09-07,524732.43
2021-09-08,524682.99
2021-09-09,524633.56
2021-09-10,524584.13
2021-09-13,524534.71
2021-09-14,524485.29
2021-09-15,524435.88
2021-09-16,524386.47
2021-09-17,524337.07
2021-09-20,524287.67
2021-09-21,524238.28
2021-09-22,524188.89
2021-09-23,524139.50
2021-09-24,524090.12
2021-09-27,524040.75
2021-09-28,523991.38
2021-09-29,523942.01
2021-09-30,523892.65
2021-10-01,533842.35
2021-10-04,533792.06
2021-10-05,533741.77
2021-10-06,533691.48
2021-10-07,533641.20
2021-10-08,533590.93
2021-10-11,533540.66
2021-10-12,533490.39
2021-10-13,533440.13
2021-10-14,533389.88
2021-10-15,533339.62
2021-10-18,533289.38
2021-10-19,533239.13
2021-10-20,533188.90
2021-10-21,533138.67
2021-10-22,533088.44
2021-10-25,533038.21
2021-10-26,532988.00
2021-10-27,532937.78
2021-10-28,532887.57
2021-10-29,532837.37
2021-11-01,542786.23
2021-11-02,542735.09
2021-11-03,542683.96
2021-11-04,542632.83
2021-11-05,542581.71
2021-11-08,542530.59
2021-11-09,542479.48
2021-11-10,542428.37
