fecha,portafolio_total_mxn,efectivo_mxn,efectivo_pct,DANHOS13_mxn,DANHOS13_pct,EDUCA18_mxn,EDUCA18_pct,FIBRAMQ12_mxn,FIBRAMQ12_pct,FIBRAPL14_mxn,FIBRAPL14_pct,FIBRAUP18_mxn,FIBRAUP18_pct,FIHO12_mxn,FIHO12_pct,FINN13_mxn,FINN13_pct,FMTY14_mxn,FMTY14_pct,FNOVA17_mxn,FNOVA17_pct,FPLUS16_mxn,FPLUS16_pct,FSHOP13_mxn,FSHOP13_pct,FSITES20_mxn,FSITES20_pct,FUNO11_mxn,FUNO11_pct,NEXT25_mxn,NEXT25_pct,STORAGE18_mxn,STORAGE18_pct
2021-01-01,450000.00,450000.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-04,450000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90000.00,20.00,0.00,0.00,90000.00,20.00,90000.00,20.00,90000.00,20.00,90000.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-05,452328.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86707.31,19.17,0.00,0.00,92477.06,20.44,92368.42,20.42,90775.86,20.07,90000.00,19.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-06,453096.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87138.51,19.23,0.00,0.00,91857.79,20.27,93014.36,20.53,91086.20,20.10,90000.00,19.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-07,458508.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87785.28,19.15,0.00,0.00,94541.28,20.62,93229.65,20.33,91784.48,20.02,91167.56,19.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-08,456997.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86903.31,19.02,0.00,0.00,96811.92,21.18,92583.72,20.26,90698.27,19.85,90000.00,19.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-11,457445.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86785.71,18.97,0.00,0.00,98256.88,21.48,91937.80,20.10,90465.51,19.78,90000.00,19.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-12,464166.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84708.19,18.25,0.00,0.00,107133.03,23.08,91937.80,19.81,90387.92,19.47,90000.00,19.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-13,465455.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83708.63,17.98,0.00,0.00,109403.67,23.50,91722.49,19.71,90620.69,19.47,90000.00,19.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2021-01-14,469507.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84923.78,18.09,0.00,0.00,113119.26,24.09,91076.55,19.40,90387.92,19.25,90000.00,19.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
